Time (s),Torque (Nm)
9.253,0.901
9.264,0.498
9.274,0.297
9.285,1.103
9.295,-0.307
9.306,0.700
9.317,1.103
9.327,0.297
9.338,1.506
9.348,0.096
9.358,0.498
9.369,1.304
9.380,0.096
9.390,0.700
9.401,0.901
9.412,0.096
9.422,0.901
9.433,1.304
9.443,0.297
9.454,1.909
9.464,-0.307
9.474,0.498
9.485,1.506
9.496,-0.106
9.507,0.700
9.517,1.103
9.528,0.297
9.538,1.103
9.549,1.103
9.559,0.498
9.570,1.707
9.580,0.498
9.591,0.297
9.602,1.103
9.612,-0.509
9.623,0.901
9.633,0.901
9.644,0.297
9.654,1.707
9.665,0.901
9.675,0.700
9.686,1.103
9.697,0.096
9.707,0.297
9.718,0.901
9.728,-0.106
9.739,0.901
9.749,0.901
9.760,0.297
9.770,1.707
9.781,0.700
9.792,0.297
9.802,1.103
9.813,0.096
9.823,0.297
9.834,0.901
9.845,0.096
9.855,1.304
9.865,1.103
9.876,0.498
9.886,1.506
9.897,0.498
9.908,0.498
9.918,1.103
9.929,-0.106
9.939,0.901
9.950,1.304
9.960,0.498
9.971,1.707
9.982,1.103
9.992,0.498
10.003,1.304
10.013,-0.106
10.024,0.498
10.034,0.901
10.045,0.297
10.055,1.103
10.066,1.103
10.077,0.498
10.087,1.506
10.098,0.700
10.108,0.096
10.119,1.103
10.129,-0.307
10.140,0.498
10.150,0.901
10.161,0.096
10.172,1.103
10.182,0.901
10.193,0.498
10.203,1.103
10.214,0.297
10.225,0.297
10.235,0.901
10.245,-0.307
10.256,0.700
10.267,0.901
10.277,0.096
10.288,1.707
10.298,0.700
10.309,0.498
10.319,1.304
10.330,0.096
10.340,0.700
10.351,0.901
10.362,0.297
10.372,1.103
10.383,1.304
10.393,0.498
10.404,1.909
10.415,0.700
10.425,0.498
10.435,1.304
10.446,-0.106
10.457,0.700
10.467,1.103
10.478,0.297
10.488,1.506
10.499,1.103
10.509,0.498
10.520,1.103
10.530,0.096
10.541,0.297
10.552,1.103
10.562,-0.307
10.573,0.901
10.583,1.103
10.594,0.498
10.604,1.707
10.615,0.700
10.625,0.498
10.636,0.901
10.647,-0.106
10.657,0.297
10.668,0.901
10.678,0.096
10.689,1.103
10.700,1.103
10.710,0.498
10.720,2.110
10.731,0.498
10.742,0.498
10.752,1.103
10.763,-0.307
